Source,Target
skp008595,skp045159
skp028586,skp020583
skp038427,skp029724
skp038427,skp002469
skp038427,skp011350
skp038427,skp009932
skp038427,skp040757
skp038427,skp026680
skp038427,skp020676
skp020676,skp038427
skp038427,skp015657
skp038427,skp013427
skp038427,skp041279
skp038427,skp002364
skp038427,skp045196
skp038427,skp015516
skp038427,skp042082
skp038427,skp038643
skp038643,skp038427
skp038427,skp012995
skp038427,skp024022
skp038427,skp042650
skp038427,skp024256
skp038427,skp020546
skp038427,skp003683
skp035864,skp038427
skp038427,skp035864
skp038427,skp004938
skp038427,skp020502
skp038427,skp038200
skp038427,skp037644
skp038427,skp031350
skp038427,skp023741
skp038427,skp003690
skp038427,skp032230
skp038427,skp032005
skp038427,skp038647
skp038427,skp013470
skp038427,skp031747
skp038427,skp016870
skp038427,skp041805
skp038427,skp036059
skp038427,skp002447
skp038427,skp015542
skp038427,skp019601
skp019601,skp038427
skp038427,skp036116
skp038427,skp024350
skp038427,skp029310
skp038427,skp010282
skp038427,skp038586
skp038427,skp030580
skp038427,skp033657
skp038427,skp024301
skp038427,skp039805
skp038427,skp039612
skp038427,skp002115
skp038427,skp007457
skp038427,skp012149
skp038427,skp008334
skp038427,skp008148
skp038427,skp029331
skp038427,skp024389
skp038427,skp025803
skp038427,skp020583
skp035864,skp025402
skp038400,skp042320
skp005563,skp042320
skp025637,skp016858
skp038400,skp025637
skp002475,skp026285
skp025722,skp025637
skp028697,skp010309
skp017330,skp045848
skp005563,skp001609
skp026308,skp017558
skp026308,skp046226
skp026308,skp042884
skp026308,skp008951
skp044780,skp040222
skp021775,skp001653
skp007667,skp001653
skp007667,skp018994
skp007667,skp031359
skp007667,skp040732
skp046361,skp007667
skp008594,skp031861
skp017514,skp007667
skp017282,skp017514
skp007667,skp041699
skp007667,skp001671
skp008595,skp008594
skp031861,skp007667
skp018994,skp007667
skp011847,skp007667
skp005563,skp005248
skp016830,skp028885
skp016830,skp027159
skp016830,skp015554
skp016830,skp008763
skp016830,skp020663
skp016830,skp019305
skp016830,skp003393
skp016830,skp016613
skp016830,skp024317
skp016830,skp016858
skp016830,skp025637
skp025637,skp016830
skp016830,skp040234
skp016830,skp028842
skp016830,skp029086
skp016830,skp019480
skp016830,skp006508
skp016830,skp019811
skp016830,skp035987
skp016830,skp042227
skp016830,skp008927
skp016830,skp003349
skp016830,skp017261
skp016830,skp019539
skp016830,skp013449
skp016830,skp004243
skp016830,skp044701
skp016830,skp016423
skp016830,skp003717
skp016830,skp031152
skp016830,skp009574
skp016830,skp010076
skp016830,skp031088
skp016830,skp043064
skp016830,skp023261
skp016830,skp013419
skp016830,skp038568
skp016830,skp013320
skp016830,skp029986
skp016830,skp001761
skp016830,skp043320
skp016830,skp006502
skp016830,skp026821
skp016830,skp006336
skp016830,skp002954
skp016830,skp024187
skp016830,skp001885
skp016830,skp024128
skp016830,skp016147
skp016830,skp027264
skp016830,skp037851
skp016830,skp013508
skp016830,skp036089
skp016830,skp001172
skp016830,skp051228
skp016830,skp042320
skp016830,skp024112
skp016830,skp038533
skp016830,skp019127
skp025722,skp016830
skp016830,skp025722
skp016830,skp012307
skp016830,skp035981
skp016830,skp013494
skp016830,skp027967
skp016830,skp037757
skp016830,skp037938
skp016830,skp026678
skp016830,skp008617
skp016830,skp006846
skp016830,skp051410
skp035864,skp020263
skp008594,skp002690
skp016830,skp039717
skp035864,skp006710
skp038400,skp016870
skp026308,skp045087
skp019601,skp021946
skp026308,skp000540
skp008594,skp008595
skp008594,skp005670
skp008594,skp019311
skp008594,skp041165
skp008594,skp014673
skp008594,skp044502
skp008595,skp007667
skp008595,skp046418
skp038304,skp007667
skp007667,skp031861
skp041922,skp007667
skp016830,skp029733
skp016830,skp042478
skp016830,skp029251
skp016830,skp029346
skp016830,skp053080
skp016830,skp018601
skp016830,skp003623
skp026308,skp008383
skp026308,skp032230
skp016830,skp028586
skp028586,skp016830
skp028586,skp004402
skp019564,skp016830
skp016830,skp008378
skp038427,skp016830
skp016830,skp020546
skp016830,skp026187
skp016830,skp038272
skp016830,skp040830
skp016830,skp042557
skp016830,skp040839
skp016830,skp011374
skp020546,skp016830
skp016830,skp026431
skp016830,skp035864
skp016830,skp028839
skp016830,skp003913
skp016830,skp044586
skp016830,skp042335
skp016830,skp028475
skp016830,skp037816
skp016830,skp024160
skp016830,skp028993
skp016830,skp044420
skp035864,skp007980
skp035864,skp024112
skp016830,skp020583
skp016830,skp001591
skp016830,skp033487
skp016830,skp042626
skp016830,skp032407
skp016830,skp008902
skp016830,skp021655
skp016830,skp016520
skp016830,skp027249
skp016830,skp008502
skp016830,skp031919
skp016830,skp036767
skp016830,skp028422
skp016830,skp022320
skp016830,skp014308
skp016830,skp008025
skp016830,skp026850
skp016830,skp037134
skp016830,skp018777
skp016830,skp035965
skp016830,skp044429
skp016830,skp028048
skp016830,skp019955
skp016830,skp014491
skp016830,skp011045
skp016830,skp024300
skp038400,skp016830
skp016830,skp037459
skp016830,skp038400
