Id,Name
skp008595,Constantijn Huygens^1628^1697^0
skp028586,Johannes Georgius Graevius^1632^1703^0
skp038427,Pierre Daniel Huet^1630^1721^0
skp020676,Ismaël Boulliau^1605^1694^0
skp038643,Pierre de Fermat^1601^1665^0
skp035864,Nicolaas Heinsius^1620^1681^0
skp019601,Henry Oldenburg^1619^1677^0
skp038400,Pierre Bayle^1647^1706^0
skp005563,Burchardus de Volder^1643^1709^0
skp025637,Jean Le Clerc^1657^1736^0
skp002475,Alexander de Bie^1623^1690^0
skp025722,Jean Paul Bignon^1662^1743^0
skp028697,Johannes Hevelius^1611^1687^0
skp017330,Gottfried Wilhelm Leibniz^1646^1716^0
skp026308,Johan de Witt^1625^1672^0
skp044780,William Brouncker^1620^1684^0
skp021775,Jean de Hautefeuille^1647^1724^0
skp007667,Christiaan Huygens^1629^1695^0
skp046361,_Unidentified_017494^0^0^1662
skp008594,Constantijn Huygens^1596^1687^0
skp017514,Gregorius a Sancto Vincentio^1584^1667^0
skp017282,Gottfried Aloys Kinner von Löwenthurn^1610^0^0
skp031861,Lodewijk Huygens^1631^1699^0
skp018994,Hendrik Decquer^0^0^1682
skp011847,Epo van Bootsma^0^0^1655
skp016830,Gijsbert Cuper^1644^1716^0
skp038304,Philips Doubleth van Sint Annaland^1633^1701^0
skp041922,Suzanna Huygens^1637^1725^0
skp019564,Henry Basnage de Beauval^1656^1710^0
skp020546,Isaac Gruterus^1610^1680^0
skp017962,Henry Justel^1620^1693^0
skp026639,Jobus Ludolphus^1624^1704^0
skp002821,Andreas Colvius^1594^1671^0
skp038090,Philip Ernst Vegelin van Claerbergen^1613^1693^0
skp019342,Henrick Bruno^1617^1664^0
skp034106,Martinus van Velden^0^0^1695
skp007646,Christiaan Constantijn Rumpff^1628^1706^0
skp018067,Hendrik Stevin^1614^1668^0
skp025866,Jean-Baptiste Colbert de Seignelay^1619^1683^0
skp035863,Nicolaas Hartsoeker^1656^1725^0
skp024488,James II van Groot Brittannië^1633^1701^0
skp029163,Johannes van Vliet^1622^1666^0
skp024950,Jan de Bisschop^1628^1671^0
skp024022,Jacobus Golius^1596^1667^0
skp038301,Philips Doublet^1633^1707^0
skp023913,Jacob van der Burgh^1600^1659^0
skp019311,Henri de Beringhen^1603^1692^0
skp033866,Marin Mersenne^1588^1648^0
skp009805,Daniël Seghers^1590^1661^0
skp016967,Giovanni Domenico Cassini^1625^1712^0
skp010567,Dirk van Leyden van Leeuwen^1628^1682^0
skp005204,Bernhardus Fullenius^1640^1707^0
skp040529,Samuel de Fermat^1630^1690^0
skp040763,Samuel Carolus Kechelius ab Hollenstein^1611^1668^0
skp015633,Gaspar Schott^1608^1666^0
skp003592,Antonie van Leeuwenhoek^1632^1723^0
skp041609,Stanislaus Lubienietz^1623^1675^0
skp010540,Dirk Rembrandtsz van Nierop^1610^1682^0
skp008296,Claude Perrault^1613^1688^0
skp038587,Pierre Petit^1598^1677^0
skp001399,Abraham Boddens^1638^1661^0
skp009119,Cosimo Brunetti^0^1680^0
skp013104,Mericus Casaubonus^1599^1671^0
skp025402,Jean Chapelain^1595^1674^0
skp040883,Samuel de Sorbière^1615^1670^0
skp006710,Carlo Roberto Dati^1619^1676^0
skp034508,Melchisédech Thévenot^1620^1692^0
skp022274,Jean Baptiste du Hamel^1624^1706^0
skp036001,Nicolas Fatio de Duillier^1664^1753^0
skp010056,David van Baerle^1595^1671^0
skp004618,Balthasar Bekker^1634^1698^0
skp021148,Johannes Hudde^1628^1704^0
skp025444,Jean Dominique Cassini^1625^1712^0
skp015586,Gaillard Guiran^1600^1680^0
skp025544,Jean Gilenius^0^0^1660
skp042502,Thomas Gobert^0^1672^0
skp013555,Francois Michel Le Tellier^1641^1691^0
skp007265,Charles Honoré d'Albert de Luynes^1646^1712^0
skp041277,Sigismondo Alberghetti^0^1702^0
skp000233,Adrien Auzout^1622^1691^0
skp036538,P. Baert^0^0^1684
skp044331,William Ball^1627^1690^0
skp011852,Erasmus Bartholin^1625^1698^0
skp007051,Ch. Bellair^0^0^1659
skp040732,Salomon van de Blocquery^1641^1701^0
skp033471,Marco Antonio Borghese^0^0^1682
skp039977,Robert Boyle^1627^1691^0
skp043455,William Brereton^1631^1697^0
skp051426,de Briou^0^0^1675
skp000281,Alexander Bruce^1629^1680^0
skp024279,Jacques Buot^0^1675^0
skp017105,Giuseppe Campani^1635^1715^0
skp034191,Mattheus Campani^0^0^1674
skp036829,Pierre de Carcavy^1600^1684^0
skp024250,Jacques Cassagnes^1636^1679^0
skp007018,Caze^0^0^0
skp006252,C.F.M. de Challes^0^0^1665
skp024283,Jacques Champion de Chambonnières^1601^1672^0
skp037772,Pierre Chanut^1601^1662^0
skp018476,H.de la Chapelle Besse^0^0^1688
skp008016,Christopher Cock^0^0^1684
skp019197,Henr. Coets^0^0^1687
skp035829,Nicolaas Colvius^1634^1717^0
skp042949,Valentin Conrart^1603^1675^0
skp040773,Samuel Coster^1579^1665^0
skp030820,L. Cousin^0^0^0
skp040697,Salomon Dierkens^1641^1703^0
skp009340,D. Dodart^0^0^0
skp013197,François Dulaurens^0^0^1663
skp013198,Fr. Eschinardi^0^0^0
skp037645,Peter Lely^1618^1680^0
skp032745,M. Fogelius^0^0^1666
skp005051,Bernard Frenicle de Bessy^1606^1675^0
skp014216,Freybergen^0^0^1687
skp021033,Jean Gallois^1632^1707^0
skp052174,du Gast^0^0^1660
skp036898,P. van Gent^0^0^1687
skp016884,François Pierre Gillet^1648^1720^0
skp000379,Artus Gouffier de Roanez^1627^1696^0
skp024328,Jacques Gousset^1635^1704^0
skp000738,Abraham de Graaf^1635^1717^0
skp021767,Jan de Graaf^1673^1697^0
skp021067,Jacques Grandamy^1588^1672^0
skp009375,D. Gregory^0^0^0
skp021070,James Gregory^1638^1675^0
skp035078,Nehemiah Grew^1641^1712^0
skp036636,P. Guisony^0^0^1666
skp016559,Gerard van Gutschoven^1615^1668^0
skp000396,A. Hartsoecker^0^0^0
skp043494,W. Hesius^0^0^1659
skp018168,Hendrik van Heuraet^1633^1660^0
skp038053,Philippe de la Hire^1640^1718^0
skp031912,Denzil Holles^1598^1680^0
skp017677,Guillaume François Antoine de L'Hospital^1661^1704^0
skp020187,Hub. Huighens^0^0^1692
skp038307,Philips Huygens^1633^1657^0
skp031359,Lamothe^0^0^1679
skp000750,A. de Lannion^0^0^1688
skp002542,Alexandre Toussaint de Limojon de Saint Disdier^1630^1689^0
skp009777,Daniel Lipstorp^1631^1684^0
skp043653,W. van Lith^0^0^1670
skp018411,Henri Louis de Loménie^1635^1698^0
skp011030,Edme Mariotte^1620^1684^0
skp036272,Oded Louis Mathion^1620^1700^0
skp031747,Leopoldo de Medici^1617^1675^0
skp014901,G. Meier^0^0^1691
skp000515,A. Monforte^0^0^1678
skp019298,Henri Louis Habert^1600^1679^0
skp015539,Gabriel Mouton^1618^1694^0
skp008292,Claude Mylon^1618^1660^0
skp044830,William Neile^1637^1670^0
skp033476,Marcus Antonius Neuraeus^1594^1677^0
skp051679,de Nonancourt^0^0^1669
skp012991,Ferdinand van der Noot^0^1671^0
skp012646,F.G. de Nulandt^0^0^1668
skp051682,de Nyert^0^0^0
skp007874,Christian Otter^1598^1660^0
skp039966,Rob. Paget^0^0^1661
skp037246,Pailheres^0^0^1675
skp010281,Denis Papin^1647^1712^0
skp022698,J.G. Pardies^0^0^1671
skp005295,Blaise Pascal^1623^1662^0
skp007383,Charles Perrault^1628^1703^0
skp036733,P. Perrier^0^0^1664
skp020590,Isaac de La Peyrère^1596^1676^0
skp025732,Jean Picard^1620^1682^0
skp053509,John Reeves^0^0^1661
skp051746,de Regnauld^0^0^1674
skp043290,Vinc. Renier^0^0^0
skp033001,Michael Angelo Ricci^1619^1692^0
skp015440,G.P. de Roberval^0^0^1656
skp036329,Ole Rømer^1644^1710^0
skp025728,Jean Paul de La Roque^0^0^1682
skp002571,Alfonso Antonio de Sarasa^1618^1667^0
skp013666,Frans van Schooten^1615^1660^0
skp028978,Johannes Schuler^1619^1674^0
skp039808,René-François de Sluse^1622^1685^0
skp013222,Fr. Smethwick^0^0^1675
skp026872,Joh.Jacob Spener^0^0^1690
skp023015,J.J. Stampioen^0^0^0
skp022711,J.G. Steigerthal^0^0^1692
skp000642,André Tacquet^1612^1660^0
skp042090,A. Tassin^0^1661^0
skp020577,Isaac Thuret^1630^1706^0
skp011474,Ehrenfried Walther von Tschirnhaus^1651^1708^0
skp003252,Antoine Vallot^1594^1671^0
skp036799,Pierre Varignon^1654^1722^0
skp051899,de Vaumesle^0^0^1678
skp051608,de la Voye^1619^1684^0
skp018501,Hadr.van de Wall^0^0^1669
skp029344,John Wallis^1616^1703^0
skp021691,Johann Wiesel^1583^1662^0
skp027252,Johan van der Wyck^1625^1679^0
skp040028,Robert Moray^1608^1673^0
skp043605,Wicher Wichers^1651^1715^0
skp001312,Aarnout van Beaumont^1605^1678^0
skp037816,Petrus Francius^1645^1704^0
