Source,Target
78,159
78,
78,
78,159
138,22
138,22
138,22
133,160
133,160
222,172
68,172
158,172
158,172
158,172
99,172
99,172
99,172
99,172
99,172
174,7
138,172
138,22
138,22
138,22
33,7
20,7
202,7
172,102
172,102
140,102
189,102
98,22
98,22
22,31
22,31
22,31
22,31
22,31
169,109
32,109
11,6
183,
81,116
105,38
124,
117,14
124,
124,
124,
117,14
166,82
173,14
114,
14,
114,
173,14
61,14
117,114
117,14
114,14
84,14
117,14
213,14
114,14
117,14
57,14
57,14
124,
206,14
14,114
213,14
228,14
61,14
213,14
14,
130,
114,
117,14
117,
14,
117,14
117,14
114,
83,14
117,14
196,134
228,14
228,14
218,6
228,14
14,118
14,
125,14
228,6
213,14
228,14
228,14
57,14
213,14
117,14
125,14
117,14
209,14
57,14
228,14
117,14
213,14
114,118
125,
106,
193,14
213,14
117,14
14,118
57,14
213,14
14,118
117,14
14,
125,14
14,118
14,
114,14
57,14
213,14
57,14
117,14
117,14
52,14
84,14
213,14
14,
91,14
114,14
64,
117,14
117,14
171,14
117,14
114,14
171,14
117,14
114,14
117,114
171,14
117,210
14,171
228,14
114,14
84,14
117,14
117,14
117,14
117,14
117,14
228,14
57,14
171,14
117,14
114,14
228,14
117,14
22,50
138,172
170,215
170,215
136,85
225,85
194,132
212,77
190,59
22,31
17,15
176,89
22,31
22,199
22,98
122,37
184,22
184,22
128,9
22,31
22,17
181,7
17,45
7,
17,107
140,148
158,172
92,172
92,172
22,31
99,172
158,172
99,172
121,7
99,172
97,22
229,7
84,123
99,172
20,7
20,179
145,147
22,199
197,85
165,7
40,9
80,34
129,65
86,215
211,22
182,142
22,31
22,199
22,3
22,31
186,172
10,
219,85
198,215
60,25
68,172
162,30
22,17
22,211
22,31
22,150
22,146
149,215
22,3
22,199
22,161
22,115
22,146
22,3
22,143
22,199
90,172
42,7
207,74
67,172
67,7
39,9
69,22
22,153
188,215
188,215
22,31
69,22
22,31
22,73
22,73
22,199
22,146
139,48
93,155
70,155
214,220
22,199
94,215
94,215
94,215
158,172
151,7
13,192
22,53
224,77
189,79
189,79
189,79
162,
41,
208,223
126,
126,74
162,7
187,7
170,215
170,215
170,215
170,215
170,215
189,102
100,7
203,78
205,26
135,215
170,215
170,215
170,215
170,215
170,215
101,22
201,131
20,172
20,172
20,172
20,179
20,172
20,172
65,47
8,58
8,46
22,
87,154
36,215
174,172
110,172
12,172
41,74
41,74
43,16
138,172
138,172
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
8,28
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
138,22
22,
138,22
138,
138,22
8,48
63,191
172,
138,22
110,172
138,
138,172
138,172
8,46
22,31
138,172
138,172
138,172
138,172
138,172
43,
43,
31,44
31,22
22,199
231,22
22,18
112,22
22,22
,22
22,31
5,22
199,22
69,22
22,31
29,22
231,22
231,22
22,5
22,199
231,22
161,22
,22
29,22
69,
231,22 22
22,161
211,22
31,22
22,22
22,
231,22
231,22 22
231,
29,22
22,199
4,22
22,178
22,211
22,161
22,22
211,22
22,199
22,111
216,22
161,22
231,22 22
22,22
29,22
22,
231,22
,
211,22
231,22
231,22
22,127
31,22
22,96
22,217
231,22
211,22
22,22
29,22
22,97
22,96
199,22
22,4
231,22
231,22 22
211,22
29,22
22,199
22,97
231,22 22
,200
144,22
231,22
22,195
199,22
22,199
141,22
231,22 22
22,144
22,31
29,22
22,4
22,97
231,22 22
199,22
22,96
144,22
22,195
54,22
22,199 199
22,75
22,199
22,141
29,22
22,199
4,22
231 231,22 22
141,22
31,22
22,103
22,199
199,22 22
,195
231 231,22
22,141
22,200
31,22
22,199
22,103
22,31
22,199
29,22
231 231,22
22,31
22,195
22,103
117,22
199,22 22
31,22
22,199
22,200
,
22,117
31,22
22,31
103,22
22,199
195,22
22,117
22,199
22,199 199
231 231,22 22
,
23,199
29,22
,
22,31
22,31
22,199
22,117
31,22
31,22
117,22
31,22
22,150
199,22
199,22
29,22
231 231,22 22
22,31
22,150
22,199
49,22
29,22
231 231,22 22
22,117
199,22
146,22
44,22
199,22
231,22
31,22
29,22
22,55
22,199
22,23
22,31
44,22
199,22
22,49
19,22
31,22
22,23
22,24
119,22
31,22
22,27
22,146
22,23
22,27
31,22
231 231,22 22
22,23
22,31
104,22
22,
175,22
137,22
146,22
22,31
31,22
22,95
22,137
22,23
231 231,22 22
24,22
22,95
66,22
22,23
22,95
231 231,22 22
22,1
146,22
22,
22,23
231 231,22 22
226,22
22,1
22,23
230,22
22,104
22,88
231 231,22 22
22,168
230,22
22,35
22,146
22,31
98,22
231,22 22
22,35
108,22
22,98
22,31
177,22
22,104
231 231,22 22
22,146
22,62
98,22
231,22 22
62,22
113,22
98,22
185,
146,22
22,164
3,22
146,22
4,
4,22
