Id,Name
1,Adam Verduin
2,Adolf Vorstius
3,Adolphus Vorstius
4,Adriaan Ploos Van Amstel
5,Adriaen Ambrosius
6,Adrianus Cool
7,Adrianus van der Burch
8,Adrianus VI
9,Aelius Everardus Vorstius
10,Aemilius Bouchhorstius
11,Ahasverus Pollio
12,Albertus Eufrenius
13,Albertus Pigius
14,Amelis van Rosendael
15,Andreas Rivetus
16,Andreas Waelkis
17,Anna Maria van Schurman
18,Anselm Salmius
19,Antonius De Rode
20,Antonius Trutius
21,Arent Van Zuylen Van Nyevelt
22,Arnoldus Buchelius
23,Arnoldus Siegenus
24,Aubertus Miraeus
25,Balduinus a Duven
26,Balthazar van Buren
27,Brigitta Jans
28,Burgomasters and Magistrate of Utrecht
29,Carel Van Rietwijk
30,Carolus Clusius
31,Casparus Barlaeus
32,Caspar van Baerle Sr.
33,Ch. Billé
34,Chapter Church of St Mary, Utrecht
35,Claesje Van Voorst
36,Commelinus
37,Compater
38,Cornelis Booth
39,Cornelis Pijnacker
40,Cornelius Cromstryen
41,Cornelius Fabius
42,Cornelius Hagius Jes.
43,Cornelius Valerius
44,Cornelius van der Myle
45,Daniel Heinsius
46,Dean and Chapter of the Church of Utrecht
47,Dean Church St Mary Utrecht
48,Deans and Chapters of the 5 Churches of Utrecht
49,Dirk Canter
50,Dominus Tienhovius
51,Edmond Van Buchell
52,Eduard Poppius
53,Emont de Buchel
54,Everard Bronchorst
55,Everardus Hardvicenus
56,Everard Vorstius
57,Florentius Schoonhoven
58,Floris Oem van Wijngaerden
59,Francesco Robortellus
60,Franciscus Alexander de Wit
61,Franciscus Johannis
62,Franciscus Sweertius
63,Franciscus Wichmanus
64,Franco Duijck
65,Frederik Schenk van Tautenburg
66,Frid. Michaël Lotichius
67,Gedeon Boetzelarius ab Aspera
68,Georgius Ramus
69,Gerard Sandelin
70,Gerardus
71,Gerardus Bor
72,Gerardus Joh. Vossius
73,Gerardus Vossius
74,Gerardus Wijckersloot
75,Gerard Van Baern
76,Gerard Wijnbergen
77,Gisbertus Lappius a Waveren
78,Gisbertus Voetius
79,Gislenius Scrivers
80,Gonsalvo Perez
81,Gregorio Mayans
82,Gruterus
83,Gualterus Bruno Ronssaeus
84,Gualtherus Verdoesius
85,Guilielmus Canterus
86,Guilielmus Cripius Secundus
87,Guilielmus Niveldius
88,Guillielmus Eckius
89,Gustav Adolph, king of Sweden
90,Gysbertus Masius
91,Hadrianus Cornelius
92,Hadrianus Franciscus van der Burch
93,Hector van Hoxwier
94,Hendricus Wiltius
95,Hendrik Coetsveld
96,Hendrik Van Der Vecht
97,Henricus Botter
98,Henricus Eppius
99,Henricus Franciscus van der Burch
100,Her. Glycerius
101,Heribertus Rosweyde
102,Hubertus Buchelius
103,Hubert Van Buchell
104,Hugo Ruysch
105,Isaacus Gruterus
106,J. Chrie
107,Jacob Cats
108,Jacob Stalpert Van Der Wielle
109,Jacobus Barlaeus
110,Jacobus Hazaeus
111,Jacobus Taets Van Amerongen
112,Jacob Van Der Eyck
113,Jacob Van Der Voort
114,Jacob van Rosendael
115,Jakob Bolius
116,Janus Andreas Hultman
117,Janus Gruterus
118,Jan van Rosendael
119,Jaspar Rubine
120,Jeanne Mabuse
121,Joachimus a Schank
122,Joannes Carondolet
123,Joannes Heurnius
124,Joannes Jacobus Rosendael
125,Joannes Verdoesius
126,Joannes Willemsz.
127,Johan Blanckendael
128,Johan Hugo de Groot
129,Johan III, king of Sweden
130,Johan Jacob
131,Johannes Aepinus
132,Johannes Axelius
133,Johannes Barvitius
134,Johannes Bloemen
135,Johannes Canter
136,Johannes Crato a Krafftheim
137,Johannes De Laet
138,Johannes de Wit
139,Johannes de Wterwijck
140,Johannes Drolshagen
141,Johannes Fred. Gronovius
142,Johannes Goch
143,Johannes Gronovius
144,Johannes Hon. Van Axel
145,Johannes II de Hoya
146,Johannes Isacus Pontanus
147,Johannes Knijff
148,Johannes Lentius
149,Johannes Lontius
150,Johannes Meursius
151,Johannes Richardotus
152,Johannes Ruysch
153,Johannes van Beverwijck
154,Johannes Verharius
155,Johannes Vorstius
156,Johannes Werckhovius
157,Johannes Westerburch
158,Johannes Wintershovius
159,Johann Heinrich Hottinger
160,Johann Matthaeus Wacker von Wackersfels
161,Johan Van Beverwijck
162,Johan van Hoghelande
163,Johan Van Sypestein
164,Jordanus Peutius
165,Julius Echter von Mespelbrunn
166,Justus Lipsius
167,L. Van Winssen
168,Lambert Snoy
